dataset,seed,cov05,median_r,n
Cora,42,0.9399999976158142,0.30081576108932495,50
Cora,137,0.9200000166893005,0.17308813333511353,50
Cora,271,0.6800000071525574,0.07007457315921783,50
Cora,314,0.8199999928474426,0.09483493119478226,50
Cora,1729,0.6800000071525574,0.09451305866241455,50
Cora,2718,0.8399999737739563,0.13766390085220337,50
Cora,3141,0.9200000166893005,0.12090418487787247,50
Cora,5772,0.7200000286102295,0.08085426688194275,50
Cora,6561,0.9599999785423279,0.7306938767433167,50
Cora,9999,0.800000011920929,0.08499690145254135,50
Citeseer,42,0.9800000190734863,0.5004714131355286,50
Citeseer,137,0.9599999785423279,0.3981361985206604,50
Citeseer,271,0.9200000166893005,0.3049863576889038,50
Citeseer,314,0.9399999976158142,0.4541025757789612,50
Citeseer,1729,0.9599999785423279,0.6028508543968201,50
Citeseer,2718,0.9200000166893005,0.23123997449874878,50
Citeseer,3141,0.9599999785423279,0.42877197265625,50
Citeseer,5772,0.9599999785423279,0.5553596019744873,50
Citeseer,6561,0.800000011920929,0.11975301057100296,50
Citeseer,9999,0.9800000190734863,0.32714375853538513,50
Pubmed,42,0.8999999761581421,0.3746838867664337,50
Pubmed,137,0.41999998688697815,0.03493994474411011,50
Pubmed,271,0.6600000262260437,0.06295326352119446,50
Pubmed,314,0.8399999737739563,0.18628272414207458,50
Pubmed,1729,0.8999999761581421,0.20761986076831818,50
Pubmed,2718,0.8199999928474426,0.18539133667945862,50
Pubmed,3141,0.5600000023841858,0.05774391442537308,50
Pubmed,5772,0.8799999952316284,0.1715281456708908,50
Pubmed,6561,0.5799999833106995,0.06571073830127716,50
Pubmed,9999,1.0,0.3832480013370514,50
Amazon,42,0.7799999713897705,0.10886096209287643,50
Amazon,137,0.8399999737739563,0.15249021351337433,50
Amazon,271,0.9399999976158142,0.324569433927536,50
Amazon,314,0.8199999928474426,0.14322499930858612,50
Amazon,1729,0.8600000143051147,0.13205204904079437,50
Amazon,2718,0.9200000166893005,0.13349370658397675,50
Amazon,3141,0.7200000286102295,0.0943608433008194,50
Amazon,5772,1.0,0.5526151657104492,50
Amazon,6561,0.8600000143051147,0.11700627952814102,50
Amazon,9999,0.8799999952316284,0.3256816565990448,50
WikiCS,42,0.7799999713897705,0.10727865993976593,50
WikiCS,137,0.7799999713897705,0.11706652492284775,50
WikiCS,271,0.7599999904632568,0.10741864144802094,50
WikiCS,314,0.7400000095367432,0.11253222078084946,50
WikiCS,1729,0.7599999904632568,0.10692215710878372,50
WikiCS,2718,0.800000011920929,0.10349972546100616,50
WikiCS,3141,0.7799999713897705,0.09503158926963806,50
WikiCS,5772,0.8799999952316284,0.12662190198898315,50
WikiCS,6561,0.7400000095367432,0.09847825020551682,50
WikiCS,9999,0.7599999904632568,0.11682359129190445,50
