dataset,seed,eps,M,n_nodes,n_edges,dmg_aegis,dmg_blackbox,dmg_transfer,flips_aegis,flips_blackbox,flips_transfer,transfer_kind,blackbox_frac,transfer_frac,aegis_over_blackbox,aegis_over_transfer
Cora,42,0.05,512,50,61,2.2283663749694824,0.9377986788749695,2.215698480606079,1,0,1,svd+,0.4208458220375959,0.9943151653580409,2.376167108320885,1.0057173367560095
Cora,137,0.05,512,50,61,1.8836195468902588,0.7542535066604614,1.865551233291626,0,0,0,svd+,0.4004277338837814,0.990407662933599,2.4973295188645355,1.0096852411642174
Cora,271,0.05,512,50,61,1.5266940593719482,0.7321511507034302,1.5066732168197632,0,0,0,svd+,0.47956638477038593,0.9868861462915358,2.0852170455583434,1.0132881120661614
Cora,314,0.05,512,50,61,1.4405020475387573,0.6041102409362793,1.4326893091201782,0,0,0,svd+,0.4193747880945136,0.994576378123219,2.3845019500185884,1.0054531979605383
Cora,1729,0.05,512,50,61,1.1336673498153687,0.5338765382766724,1.114001750946045,1,1,1,svd+,0.47092874145455504,0.982653113479429,2.1234635136333058,1.0176531130697264
Cora,2718,0.05,512,50,61,1.8074148893356323,0.8395724296569824,1.8055663108825684,0,0,0,svd+,0.4645156098971784,0.9989772251717238,2.1527801836871583,1.0010238219676133
Cora,3141,0.05,512,50,61,1.6385999917984009,0.6893766522407532,1.6321344375610352,0,0,0,svd+,0.42071076265791174,0.9960542205115785,2.376929921360533,1.0039614103400867
Cora,5772,0.05,512,50,61,1.3345739841461182,0.6233544945716858,1.3226057291030884,1,1,1,svd+,0.46708125737256745,0.9910321531925506,2.140955099815426,1.0090489968247347
Cora,6561,0.05,512,50,61,2.274815797805786,1.0415107011795044,2.2647953033447266,0,0,0,svd+,0.45784397232695145,0.9955950303885154,2.1841501918603154,1.0044244592198954
Cora,9999,0.05,512,50,61,1.906538486480713,0.7952505946159363,1.90013587474823,0,0,0,svd+,0.41711751441424744,0.9966417610880222,2.3974059238540644,1.0033695546816257
Citeseer,42,0.05,512,50,73,2.4103007316589355,1.2138875722885132,2.3548357486724854,0,0,0,svd+,0.5036249445325571,0.9769883557441915,1.9856045870169452,1.0235536525287243
Citeseer,137,0.05,512,50,73,1.9271869659423828,0.7110961675643921,1.9259413480758667,0,0,0,svd+,0.368981411835499,0.9993536600814924,2.710163623217488,1.0006467579439844
Citeseer,271,0.05,512,50,73,1.4758837223052979,0.6478728652000427,1.4661078453063965,0,0,0,svd+,0.43897283736423326,0.9933762552895212,2.27804527953118,1.0066679112523664
Citeseer,314,0.05,512,50,73,2.415562152862549,1.0090875625610352,2.4054925441741943,0,1,0,svd+,0.417744400145209,0.9958313601343598,2.3938082704457497,1.0041860901679958
Citeseer,1729,0.05,512,50,73,2.217608690261841,0.9406470656394958,2.1947762966156006,0,0,0,svd+,0.42417179810403355,0.9897040475416137,2.3575353299531177,1.0104030618890172
Citeseer,2718,0.05,512,50,73,2.2830984592437744,0.8851935267448425,2.229492664337158,0,0,0,svd+,0.3877158793397124,0.9765205943311039,2.5792082638013674,1.0240439431643313
Citeseer,3141,0.05,512,50,73,2.5558152198791504,0.96759432554245,2.542424440383911,0,0,0,svd+,0.37858539929510315,0.9947606621202169,2.641411955827993,1.0052669331219997
Citeseer,5772,0.05,512,50,73,2.313387155532837,0.9426234364509583,2.3065173625946045,0,0,0,svd+,0.40746462787109494,0.9970304179644975,2.454200761486366,1.0029784267179782
Citeseer,6561,0.05,512,50,73,1.8571702241897583,0.7901394963264465,1.8419116735458374,0,0,0,svd+,0.425453459265516,0.9917839784177146,2.3504333511034456,1.0082840837935225
Citeseer,9999,0.05,512,50,73,1.9414327144622803,0.7580810785293579,1.919546365737915,0,0,0,svd+,0.39047507177673374,0.9887267024186172,2.560982946874983,1.0114018338473172
Pubmed,42,0.05,512,50,53,0.5457582473754883,0.24636872112751007,0.5434781312942505,1,0,1,svd+,0.4514246414273707,0.9958221133767512,2.2152091583615716,1.0041954145897423
Pubmed,137,0.05,512,50,53,0.41013196110725403,0.22115589678287506,0.4066512882709503,2,0,2,svd+,0.5392310713503266,0.9915132855608064,1.854492541566326,1.008559355242924
Pubmed,271,0.05,512,50,53,0.5967761278152466,0.29748308658599854,0.5918067693710327,1,0,1,svd+,0.49848355643021813,0.9916729939208421,2.006084227053111,1.0083969273441993
Pubmed,314,0.05,512,50,53,0.5704107284545898,0.2746361494064331,0.5613805651664734,0,0,1,svd+,0.48147086950924484,0.9841690156975451,2.07696885383592,1.0160856357495003
Pubmed,1729,0.05,512,50,53,0.41981399059295654,0.20414890348911285,0.4189981520175934,0,0,0,svd+,0.4862841831468443,0.9980566665388858,2.056410705215201,1.0019471173594314
Pubmed,2718,0.05,512,50,53,0.6182922720909119,0.3145107924938202,0.6175403594970703,3,1,3,svd+,0.5086765704352446,0.9987838880934112,1.9658857083674184,1.00121759263549
Pubmed,3141,0.05,512,50,53,0.39624691009521484,0.1965406835079193,0.3946857750415802,0,0,0,svd+,0.4960055927267476,0.9960601962719167,2.0161062993313985,1.0039553871772302
Pubmed,5772,0.05,512,50,53,0.7537943124771118,0.3509353995323181,0.7513649463653564,5,1,5,svd+,0.4655585664729646,0.996777149851699,2.1479574687582748,1.003233270494594
Pubmed,6561,0.05,512,50,53,0.7359696626663208,0.3224406838417053,0.7331410050392151,3,0,3,svd+,0.43811681404576563,0.9961565567568942,2.282496283960332,1.003858272293683
Pubmed,9999,0.05,512,50,53,0.716890811920166,0.3134709894657135,0.7159959673881531,0,0,0,svd+,0.43726462140879285,0.9987517701201719,2.2869446807248406,1.0012497899049309
Amazon,42,0.05,512,50,85,4.42326021194458,1.672502875328064,4.351409912109375,1,0,1,svd+,0.3781154160480168,0.9837562575131392,2.644695131586516,1.0165119584885018
Amazon,137,0.05,512,50,85,4.686077117919922,1.8150269985198975,4.673044681549072,0,0,0,svd+,0.3873233309753042,0.9972189027105396,2.581822265862317,1.0027888533619862
Amazon,271,0.05,512,50,85,3.8434696197509766,1.6468079090118408,3.8363542556762695,1,1,1,svd+,0.4284690844306816,0.9981487133297107,2.3338906734163256,1.0018547202892378
Amazon,314,0.05,512,50,85,3.8634135723114014,1.520714521408081,3.843149185180664,0,0,0,svd+,0.39361939718461686,0.994754797343994,2.5405252057001046,1.005272859874625
Amazon,1729,0.05,512,50,85,4.364258766174316,1.786331057548523,4.331884384155273,0,1,0,svd+,0.40930915265466955,0.9925819288558313,2.443141067123146,1.0074735101743386
Amazon,2718,0.05,512,50,85,4.144822597503662,1.7035443782806396,4.1375651359558105,1,0,1,svd+,0.4110053779639804,0.9982490296322398,2.433058187592956,1.0017540416427004
Amazon,3141,0.05,512,50,85,5.225679397583008,2.2799782752990723,5.208242893218994,0,0,0,svd+,0.4363027468454365,0.9966633038429265,2.2919864869754245,1.0033478669719331
Amazon,5772,0.05,512,50,85,5.708862781524658,2.3220324516296387,5.673455715179443,0,0,0,svd+,0.4067416822741528,0.9937978774932547,2.458562875604124,1.0062408288920777
Amazon,6561,0.05,512,50,85,4.8284735679626465,1.9908109903335571,4.778614044189453,0,0,0,svd+,0.41230649030425803,0.9896738538439941,2.425380205055852,1.0104338880085577
Amazon,9999,0.05,512,50,85,5.1123433113098145,1.9475679397583008,5.096312522888184,0,0,0,svd+,0.3809540598437083,0.9968642973592625,2.6249884314404315,1.0031455662009805
WikiCS,42,0.05,512,50,55,1.1820764541625977,0.5046242475509644,1.1722012758255005,0,0,0,svd+,0.4268964547715727,0.9916459055568508,2.342488415686395,1.0084244732886363
WikiCS,137,0.05,512,50,55,0.8903567790985107,0.40623924136161804,0.8864902853965759,0,0,0,svd+,0.45626568011638735,0.9956573659091476,2.191705498745628,1.004361574814331
WikiCS,271,0.05,512,50,55,1.068483591079712,0.4990696907043457,1.065024733543396,1,0,1,svd+,0.46708222276023115,0.9967628351383284,2.140950674788009,1.0032476781311999
WikiCS,314,0.05,512,50,55,0.9265314340591431,0.4839341342449188,0.9177672266960144,0,0,0,svd+,0.5223073027590642,0.9905408418527879,1.9145816930330977,1.0095494882669542
WikiCS,1729,0.05,512,50,55,1.026227593421936,0.4861043691635132,1.0212162733078003,0,0,0,svd+,0.4736808601517014,0.995116755633684,2.1111260431332166,1.004907207459497
WikiCS,2718,0.05,512,50,55,0.947567343711853,0.4663237929344177,0.9407619833946228,0,0,0,svd+,0.49212733641464823,0.992818072127125,2.0319944169031836,1.007233881085069
WikiCS,3141,0.05,512,50,55,1.209821343421936,0.6467414498329163,1.2061647176742554,1,1,1,svd+,0.5345759961579379,0.9969775489847633,1.8706414189696514,1.0030316139198063
WikiCS,5772,0.05,512,50,55,1.1762691736221313,0.6318012475967407,1.172580361366272,0,0,0,svd+,0.5371230172182534,0.9968639726870506,1.8617708940848874,1.003145892919067
WikiCS,6561,0.05,512,50,55,1.007720708847046,0.461637943983078,1.003037929534912,0,0,0,svd+,0.4581010789301408,0.995353098064749,2.182924350091953,1.0046685964451065
WikiCS,9999,0.05,512,50,55,0.947089433670044,0.41827335953712463,0.9445148706436157,0,0,0,svd+,0.4416408257415389,0.9972816051632509,2.2642834215359184,1.0027258046500356
