i,j,w_k,v_k,wk_vk,d_k,d_k_renorm,ratio
36,37,0.3388684015082782,13.823639459368994,4.68439460662313,4.24631516031204,0.3162620081749349,0.906481096683934
14,55,0.560606390085956,7.916622792985348,4.438109325647715,4.143338556059683,0.4185426873563102,0.9335819043743335
21,3,0.3073487761810712,14.029303604764433,4.311889293597039,3.9157625868551014,0.05301285757814952,0.9081315219919566
46,13,0.31888426909247264,11.679750641995746,3.7244887466551515,3.5054162392993744,0.24325426399177705,0.9411805157009753
46,7,0.3156448083771281,11.462244914186892,3.6179980995102325,3.2997021893582885,0.12704130412358228,0.9120243014513933
28,46,0.3582488820733369,9.778465843027023,3.5031244566567405,3.106839416143648,0.26858019490234025,0.8868766881062247
21,32,0.2493935411842913,13.133554028740688,3.275423547562856,3.068539231662492,0.3464317225274252,0.9368373851820476
31,26,0.28780958387987027,10.898837755896201,3.1367899592987047,2.9812420947460603,0.26987943227656985,0.9504117691745544
24,47,0.29472420754994555,10.785431778559255,3.178727834019876,2.9515456904923996,0.008348085300569479,0.9285304828252069
55,6,0.24861771330075721,12.12313267554899,3.0140255238366804,2.8470833450678366,0.07437111705028869,0.944611557716228
36,36,0.3399661128510471,12.694516185696452,4.3157053221759245,2.830555740160162,0.23172846546660916,0.6558732649366874
50,27,0.26156713497027617,10.732104970210575,2.8071659492582413,2.6744420244608658,0.21411650584229608,0.9527196014783358
31,49,0.29248507036592325,9.724527789219344,2.8442791947051957,2.666247673263587,0.21160045943108916,0.9374071568736903
25,33,0.32915040833492243,8.418480331988555,2.770946238833546,2.662810600969122,0.20095893811326415,0.9609751945566635
21,29,0.1960988131352871,14.915655504393253,2.924942341546329,2.6467930311883374,0.17938726769871619,0.9049043441277059
24,20,0.2396055360511334,11.57474948142921,2.773374054155424,2.62435744164944,0.2704900963222152,0.9462688373093026
0,10,0.25562799901844996,10.463190129148796,2.6746843560639038,2.5676932784178965,0.26009945699041853,0.9599986153867305
9,48,0.3178274582420854,8.335429862048455,2.649228486410037,2.530213275005621,0.09818903331471197,0.9550755202826264
8,20,0.3909937668798576,6.699769646819264,2.619568171437197,2.515085365613295,0.26190645697030646,0.96011449254761
50,14,0.2717729235991081,9.360485210427445,2.543926431944079,2.4203092379632047,0.3025219520638676,0.9514069304722756
30,46,0.30310963232304733,8.261853076451768,2.5042472483103326,2.4114990256339035,0.10828781392963197,0.9629636319900089
40,21,0.30609896724605723,8.10881029379654,2.4820984565253186,2.38268028203961,0.15598495947587507,0.9599459182514123
21,2,0.16495830817744145,15.175154073400483,2.503267742280153,2.380084383326765,0.20460481236895736,0.9507909773801567
3,27,0.28437870730253345,8.449132049304719,2.4027532500096815,2.3136050468811105,0.07760446620748425,0.9628974789116561
10,38,0.26201185789863274,9.152948427461487,2.398181022729553,2.31117052089557,0.09751851895484327,0.963718125942407
47,5,0.2701770797759136,8.878209685502519,2.398688766467303,2.2986726077830344,0.15469974591638844,0.9583038199526117
